Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,58.93,99.24,4.90,21.10,15.20,11.83,18.05,0.54,36.56,2.24,5.92,1.24,NA,NA,NA,22.94,73.94,1.28,120.64,0.00,0.00,121.40,753.52,0.06
2022-01-02 00:00:00,68.36,111.33,4.88,21.60,15.49,11.69,20.32,0.54,36.29,2.24,4.63,1.16,NA,NA,NA,22.99,73.74,0.69,134.84,0.00,0.00,108.31,752.42,0.06
2022-01-03 00:00:00,75.22,125.70,6.70,34.56,23.87,11.24,25.73,0.66,36.69,3.76,9.35,1.66,NA,NA,NA,21.92,71.57,0.77,133.44,0.00,0.00,115.70,751.89,0.06
2022-01-04 00:00:00,61.20,112.87,6.69,36.17,24.64,11.74,20.03,0.56,46.42,2.91,7.74,2.08,NA,NA,NA,22.23,68.65,0.67,141.94,0.00,0.00,136.34,752.01,0.06
2022-01-05 00:00:00,71.00,135.67,12.18,44.66,33.70,11.72,16.44,0.73,41.23,3.77,10.56,2.53,NA,NA,NA,22.23,74.09,0.60,167.14,0.00,0.00,121.02,751.71,0.04
2022-01-06 00:00:00,87.15,190.14,18.16,62.16,47.86,11.11,15.59,0.82,14.04,5.60,16.93,4.13,NA,NA,NA,22.55,76.51,0.55,186.52,0.00,0.00,111.39,751.38,0.03
2022-01-07 00:00:00,73.23,125.09,6.71,33.01,23.05,12.44,16.63,0.69,40.66,2.94,9.75,1.75,NA,NA,NA,23.18,78.07,0.73,138.07,0.00,0.00,116.28,751.46,0.06
2022-01-08 00:00:00,114.11,194.57,13.07,50.40,37.48,9.93,17.41,0.88,30.85,5.18,17.71,3.61,NA,NA,NA,22.85,77.32,0.69,171.71,0.00,0.00,105.27,751.77,0.04
2022-01-09 00:00:00,101.79,177.33,14.28,51.30,38.94,10.96,15.54,0.81,NA,9.30,16.02,3.68,NA,NA,NA,23.19,77.56,0.47,190.08,0.00,0.00,103.29,750.30,0.03
2022-01-10 00:00:00,61.06,129.72,36.76,56.59,60.03,12.36,12.94,0.70,24.03,5.91,17.85,4.27,NA,NA,NA,23.47,78.33,0.61,188.83,0.00,0.00,112.38,750.52,0.05
2022-01-11 00:00:00,34.95,80.62,16.54,37.24,33.30,11.84,15.29,0.55,16.26,3.22,10.37,2.64,NA,NA,NA,24.03,76.51,0.80,160.21,0.00,0.00,122.84,750.33,0.06
2022-01-12 00:00:00,25.70,56.90,5.22,21.22,15.51,12.63,14.59,0.41,21.54,1.96,6.10,1.34,NA,NA,NA,24.21,77.28,0.62,125.56,0.00,0.00,104.47,750.05,0.05
2022-01-13 00:00:00,31.65,64.89,5.85,25.61,18.42,12.02,16.32,0.49,20.09,2.15,6.76,1.48,NA,NA,NA,22.85,81.82,0.94,137.60,0.20,17.50,82.73,749.76,0.06
2022-01-14 00:00:00,38.27,59.88,5.35,20.03,15.04,12.19,16.10,0.59,18.45,2.24,6.34,0.90,NA,NA,NA,22.49,82.38,2.26,124.12,0.07,6.00,119.67,749.66,0.07
2022-01-15 00:00:00,35.72,60.45,3.83,13.15,10.11,12.71,15.87,0.37,23.09,1.90,3.73,0.59,NA,NA,NA,22.65,79.74,1.14,118.39,0.00,0.00,119.02,750.54,0.07
2022-01-16 00:00:00,43.82,69.64,3.66,11.38,9.06,12.47,17.27,0.44,29.85,1.50,2.66,0.40,NA,NA,NA,22.71,76.13,1.13,116.81,0.00,0.00,132.25,751.87,0.09
