district_id,vegetable,price_per_kg_inr,date_updated
1,Tomato,46.22,2023-01-01
1,Tomato,47.73,2023-01-02
1,Tomato,52.45,2023-01-03
1,Tomato,47.03,2023-01-04
1,Tomato,46.59,2023-01-05
1,Tomato,44.92,2023-01-06
1,Tomato,51.78,2023-01-07
1,Tomato,44.98,2023-01-08
1,Tomato,46.55,2023-01-09
1,Tomato,48.75,2023-01-10
1,Tomato,46.51,2023-01-11
1,Tomato,49.61,2023-01-12
1,Tomato,50.73,2023-01-13
1,Tomato,48.55,2023-01-14
1,Tomato,48.12,2023-01-15
1,Tomato,52.53,2023-01-16
1,Tomato,49.36,2023-01-17
1,Tomato,49.0,2023-01-18
1,Tomato,47.23,2023-01-19
1,Tomato,43.59,2023-01-20
1,Tomato,52.23,2023-01-21
1,Tomato,50.72,2023-01-22
1,Tomato,47.35,2023-01-23
1,Tomato,44.5,2023-01-24
1,Tomato,52.73,2023-01-25
1,Tomato,46.41,2023-01-26
1,Tomato,46.36,2023-01-27
1,Tomato,46.42,2023-01-28
1,Tomato,51.84,2023-01-29
1,Tomato,49.3,2023-01-30
1,Tomato,44.47,2023-01-31
1,Tomato,50.09,2023-02-01
1,Tomato,50.23,2023-02-02
1,Tomato,50.02,2023-02-03
1,Tomato,48.28,2023-02-04
1,Tomato,46.09,2023-02-05
1,Tomato,49.02,2023-02-06
1,Tomato,43.03,2023-02-07
1,Tomato,52.61,2023-02-08
1,Tomato,51.04,2023-02-09
1,Tomato,48.55,2023-02-10
1,Tomato,50.04,2023-02-11
1,Tomato,50.23,2023-02-12
1,Tomato,44.49,2023-02-13
1,Tomato,45.85,2023-02-14
1,Tomato,43.13,2023-02-15
1,Tomato,44.7,2023-02-16
1,Tomato,45.3,2023-02-17
1,Tomato,50.69,2023-02-18
1,Tomato,50.41,2023-02-19
1,Tomato,48.16,2023-02-20
1,Tomato,46.91,2023-02-21
1,Tomato,48.19,2023-02-22
1,Tomato,47.0,2023-02-23
1,Tomato,50.38,2023-02-24
1,Tomato,47.63,2023-02-25
1,Tomato,45.44,2023-02-26
1,Tomato,44.08,2023-02-27
1,Tomato,48.14,2023-02-28
1,Tomato,43.72,2023-03-01
1,Tomato,43.36,2023-03-02
1,Tomato,44.44,2023-03-03
1,Tomato,50.62,2023-03-04
1,Tomato,42.97,2023-03-05
1,Tomato,52.39,2023-03-06
